taxa,worms_aphia_id,functional_group,phylum,class,order,family,genus,species,revised_taxa,LWRa,LWRb,LWRSource
Loligo forbesi,140270,nekton,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo,Loligo forbesii,Loligo forbesii,NA,NA,NA
Loligo vulgaris,140271,nekton,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo,Loligo vulgaris,Loligo vulgaris,NA,NA,NA
Lophius budegassa,126554,fish,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Lophius budegassa,Lophius budegassa,0.0155,2.96,FishBase
Lophius piscatorius,126555,fish,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Lophius piscatorius,Lophius piscatorius,0.0288,2.81,FishBase
Maja brachydactyla,107347,benthos,Arthropoda,Malacostraca,Decapoda,Majidae,Maja,Maja brachydactyla,Maja brachydactyla,NA,NA,NA
Maurolicus muelleri,127312,fish,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus muelleri,Maurolicus muelleri,0.00164,3.961,FishBase
Melanogrammus aeglefinus,126437,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,Melanogrammus aeglefinus,0.0074,3.06,FishBase
Merlangius merlangus,126438,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Merlangius,Merlangius merlangus,Merlangius merlangus,0.0059,3.08,FishBase
Merluccius merluccius,126484,fish,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Merluccius merluccius,0.0046,3.12,FishBase
Microchirus variegatus,274304,fish,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Microchirus,Microchirus variegatus,Microchirus variegatus,0.0074,3.12,FishBase
Micromesistius poutassou,126439,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,0.0041,3.15,FishBase
Microstomus kitt,127140,fish,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus kitt,Microstomus kitt,0.0083,3.08,FishBase
Molva molva,126461,fish,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva molva,Molva molva,0.004,3.07,FishBase
Mullus surmuletus,126986,fish,Chordata,Actinopteri,Mulliformes,Mullidae,Mullus,Mullus surmuletus,Mullus surmuletus,0.0081,3.16,FishBase
Mustelus asterias,105821,fish,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Mustelus asterias,Mustelus asterias,0.0018,3.13,FishBase
Nephrops norvegicus,107254,megabenthos,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Nephrops norvegicus,NA,NA,NA
Pagellus acarne,127057,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Pagellus,Pagellus acarne,Pagellus acarne,0.0105,3.15,FishBase
Pagellus bogaraveo,127059,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Pagellus,Pagellus bogaraveo,Pagellus bogaraveo,0.0126,3.07,FishBase
Pagellus erythrinus,127060,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Pagellus,Pagellus erythrinus,Pagellus erythrinus,0.0178,2.97,FishBase
Pagrus pagrus,127063,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Pagrus,Pagrus pagrus,Pagrus pagrus,0.0204,2.98,FishBase
Palinurus elephas,107703,megabenthos,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus,Palinurus elephas,Palinurus elephas,NA,NA,NA
Pecten maximus,140712,benthos,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten,Pecten maximus,Pecten maximus,NA,NA,NA
Pegusa lascaris,127156,fish,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Pegusa,Pegusa lascaris,Pegusa lascaris,0.0072,3.14,FishBase
Phycis blennoides,126501,fish,Chordata,Actinopteri,Gadiformes,Phycidae,Phycis,Phycis blennoides,Phycis blennoides,0.0037,3.2,FishBase
Pleuronectes platessa,127143,fish,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes platessa,Pleuronectes platessa,0.0093,3.03,FishBase
Pollachius pollachius,126440,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius pollachius,Pollachius pollachius,0.0059,3.12,FishBase
Pomatoschistus lozanoi,126925,fish,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus lozanoi,Pomatoschistus lozanoi,0.01,3.04,FishBase
Pomatoschistus microps,126927,fish,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus microps,Pomatoschistus microps,0.0075,3.18,FishBase
Pomatoschistus minutus,126928,fish,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus minutus,Pomatoschistus minutus,0.0052,3.22,FishBase
Raja brachyura,367297,fish,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja brachyura,Raja brachyura,0.0032,3.2,FishBase
Raja clavata,105883,fish,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja clavata,Raja clavata,0.0022,3.21,FishBase
Raja microocellata,105885,fish,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja microocellata,Raja microocellata,0.0049,3.12,FishBase
Raja montagui,105887,fish,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja montagui,Raja montagui,0.0025,3.31,FishBase
Raja undulata,105891,fish,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja undulata,Raja undulata,0.0045,3.07,FishBase
Sardina pilchardus,126421,fish,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardina,Sardina pilchardus,Sardina pilchardus,0.0054,3.14,FishBase
Scomber scombrus,127023,fish,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,Scomber scombrus,0.0055,3.13,FishBase
Scophthalmus maximus,127149,fish,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus maximus,Scophthalmus maximus,0.011,3.1,FishBase
Scophthalmus rhombus,127150,fish,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus rhombus,Scophthalmus rhombus,0.0138,3.01,FishBase
Scorpaena notata,127246,fish,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaena,Scorpaena notata,Scorpaena notata,0.0174,3.03,FishBase
Scorpaena porcus,127247,fish,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaena,Scorpaena porcus,Scorpaena porcus,0.0174,3.04,FishBase
Scyliorhinus canicula,105814,fish,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,Scyliorhinus canicula,0.0014,3.22,FishBase
Sepia,138477,benthos,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,NA,Sepia,NA,NA,NA
Sepia elegans,141443,benthos,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia elegans,Sepia elegans,NA,NA,NA
Sepia officinalis,141444,benthos,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia officinalis,Sepia officinalis,NA,NA,NA
Sepia orbignyana,141445,benthos,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia orbignyana,Sepia orbignyana,NA,NA,NA
Sepietta oweniana,141452,benthos,Mollusca,Cephalopoda,Sepiida,Sepiolidae,Sepietta,Sepietta oweniana,Sepietta oweniana,NA,NA,NA
Sepiola,138483,benthos,Mollusca,Cephalopoda,Sepiida,Sepiolidae,Sepiola,NA,Sepiola,NA,NA,NA
Solea senegalensis,127159,fish,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Solea,Solea senegalensis,Solea senegalensis,0.0078,3.07,FishBase
Solea solea,127160,fish,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Solea,Solea solea,Solea solea,0.0062,3.13,FishBase
Sparus aurata,151523,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Sparus,Sparus aurata,Sparus aurata,0.0151,2.99,FishBase
Spondyliosoma cantharus,127066,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Spondyliosoma,Spondyliosoma cantharus,Spondyliosoma cantharus,0.0138,3.03,FishBase
Sprattus sprattus,126425,fish,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,0.0055,3.06,FishBase
Symphodus (Crenilabrus) bailloni,273566,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Symphodus,Symphodus bailloni,Symphodus bailloni,0.0123,3.11,FishBase
Syngnathus,126227,fish,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,NA,Syngnathus,1.81712e-4,3.28,Mean_Species
Syngnathus rostellatus,127389,fish,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus rostellatus,Syngnathus rostellatus,1e-4,3.53,IMARES
Todarodes sagittatus,140624,nekton,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes,Todarodes sagittatus,Todarodes sagittatus,NA,NA,NA
Todaropsis eblanae,140625,nekton,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis,Todaropsis eblanae,Todaropsis eblanae,NA,NA,NA
Torpedo (Torpedo) marmorata,271684,fish,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,Torpedo marmorata,0.0275,2.9,FishBase
Trachinus draco,127082,fish,Chordata,Actinopteri,Perciformes,Trachinidae,Trachinus,Trachinus draco,Trachinus draco,0.0059,3.08,FishBase
Trachurus mediterraneus,126820,fish,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus mediterraneus,Trachurus mediterraneus,0.0105,2.97,FishBase
Trachurus trachurus,126822,fish,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,0.0087,2.99,FishBase
Trigla lyra,127266,fish,Chordata,Actinopteri,Perciformes,Triglidae,Trigla,Trigla lyra,Trigla lyra,0.011,2.94,FishBase
Trisopterus luscus,126445,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Trisopterus,Trisopterus luscus,Trisopterus luscus,0.0079,3.15,FishBase
Trisopterus minutus,126446,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Trisopterus,Trisopterus minutus,Trisopterus minutus,0.0072,3.13,FishBase
